feature_identifier	mz	mummichogID_hsa_mfn
Row.317_119963	81.0316135455763	C00207,C00479
Row.318_69737	271.151103355409	
Row.319_46709	380.204547320519	
Row.320_2973	197.078181591016	
Row.321_60927	309.095469697807	C00051,C14796,C14797,C14798,C00032,C05839
Row.323_108103	307.151507714409	C05791,CE2102
Row.324_117875	333.14603633878	
Row.325_2003	163.109065028531	C01211,C02075,C06428,CE5013,CE5932
Row.326_90860	225.088222087207	C03227,C05651,C00214,C00365,C05648
Row.327_61070	312.120308931586	
Row.328_58676	271.151092594953	
Row.329_122539	241.177304140361	C00750
Row.330_2201	243.098866933197	C00214,C00921,C01601,C03227,C05651
Row.331_28676	349.182949063025	
Row.333_94373	263.161182109884	
Row.334_109278	294.240533558929	
Row.335_99067	297.216902758648	C02797,C02940,C03836
Row.336_98486	245.151186507349	
Row.337_118313	409.162324273953	
Row.338_108056	272.221821924491	
Row.339_118862	349.141073475278	
Row.340_100598	296.125599226466	
Row.341_134027	219.174090481134	
Row.342_132913	335.125282867045	
Row.343_71839	303.119975170432	C00500
Row.344_54314	481.241772762202	
Row.345_87094	270.146735589744	C05202
Row.346_68213	230.116155386352	
Row.347_113186	409.162273107131	
Row.348_134812	381.297636784409	hdcecrn,hdd2crn,C00695,C01607,C06425
Row.349_77494	297.203280961399	C05956,C05962,C06424
Row.350_71677	241.190592082775	
Row.351_81048	256.131254960457	
Row.352_111187	348.990122081802	
Row.353_71886	259.130117720952	C00449,CE2705,CE5236,CE6511
Row.354_61158	288.252810089913	
Row.355_111653	289.104457421318	C14852,C14852
Row.356_82993	227.161471523981	
Row.357_98658	311.219212305967	C04785,C07163,C16321,CE5528
Row.359_3871	284.888537615248	
Row.361_64963	345.188712600681	
Row.362_99501	229.083339764137	C00526,C06423
Row.363_106680	225.182441504393	
Row.364_74132	163.075189099823	C06205,C09642,C00590,C11713,C11714,C14786,C14787
Row.365_7544	124.037000574896	C03227,C05651
Row.366_88595	269.208345832861	
Row.367_114292	271.13033527571	C00921
Row.369_89749	220.130761721159	
Row.370_45312	434.191297360399	CE5139,CE7105
Row.371_59100	241.176922932954	C00750
Row.372_72440	380.158903236367	
Row.373_59897	296.183372443697	
Row.374_124064	431.298263186225	
Row.375_61150	202.179798269947	
Row.376_44456	596.306023445228	CE4993,CE5531,CE6235,CE6236,CE6241,CE6242,CE6243,CE6245,CE6250
Row.377_75893	227.1613751027	
Row.378_41456	309.180344266265	C00280,C11173,andrstndn
Row.379_72913	219.112343710893	C00978,C00864,C04148,C05642
Row.380_1002	100.112361116354	
Row.381_113103	795.336668782305	
Row.382_113970	275.104100535373	C14853
Row.383_84109	313.248100746729	
Row.384_3244	181.046855377813	C01419,C04221
Row.385_2611	692.548991576429	
Row.386_73744	275.125004726691	
Row.387_3900	177.088393504876	C00299
Row.388_44848	477.259468696068	C02528,C04483,C15517
Row.389_57456	463.250929562068	
Row.390_82613	349.198258603043	CE1343,CE2053,CE5138,CE5661,CE5947,CE7088,CE7112,CE7113,CE7114,CE7115
Row.391_72677	309.130874173898	
Row.392_100887	295.237723926953	
Row.393_118468	269.060618023949	C01817
Row.395_87129	217.046859909744	C00085,C00092,C00103,C00275,C00446,C00636,C00668,C01094,C01096,C01097,C01171,C01172,C01177,C02965,C02976,C02985,C03546,C03735,C03862,C04006,C05345,C06103,CE3075
Row.396_83700	380.182976435955	
Row.397_51248	375.198995742693	
Row.398_119670	264.194424911021	
Row.399_88457	195.135357605167	
Row.401_81115	255.156322747806	
Row.402_30813	197.114591981285	C05963
Row.403_4274	483.7662434704	
Row.404_84083	241.153871481873	
Row.405_50691	525.231836833364	CE4995
Row.406_116593	382.14730413429	
Row.407_119899	241.177345876935	C00750
Row.408_60206	268.093982796253	
Row.409_82158	204.101673494468	
Row.410_68983	307.151155363862	C05791,CE2102
Row.411_31956	340.162678037894	C00611,mn
Row.412_76685	271.151082653968	
Row.413_46593	585.288379751042	
Row.414_82164	226.083518673209	C00475,C05711
Row.415_81591	253.19032626101	C07073
Row.416_86469	288.120478099204	C06350
Row.417_129461	258.206303098754	
Row.418_111852	305.172301177232	C05298,C05300,CE1343,CE2180,CE5249,CE5250,CE5253,CE5254,CE5723
Row.419_58667	210.146158037699	
Row.420_3527	237.109496872516	CE2061
Row.421_24072	693.326471128645	
Row.422_64922	289.104228013409	C14852,C14852
Row.423_76611	256.094155646805	C03492,C04751,pcrn
Row.424_70582	344.147409526894	CE5823
Row.425_78079	342.168575125297	
Row.426_83547	268.1304496063	
Row.427_91269	624.293051885556	CE4993,CE6236,CE6241,CE6245,CE6250,m2mn
Row.428_95144	183.091559427862	C05636,C05638,C00978
Row.429_72790	464.259139011997	CE4878
Row.430_66930	280.188864616103	C16659,C16659
Row.431_72427	167.103950085262	CE5848,CE7109,CE7110,C04785,C06423,C16321,CE5528
Row.432_50268	266.137818627921	C14871
Row.433_96797	231.099062799664	C04376
Row.434_3841	464.803073068965	
Row.435_111233	476.275048082166	
Row.436_108839	344.279613859127	
Row.437_90812	235.141510775749	
Row.438_79715	202.179842457065	
Row.439_45543	522.26783268288	C02592
Row.440_68871	387.235381866074	CE5946,C05956,C05962
Row.441_41016	552.315895211258	
Row.442_71131	219.062383253454	C01096,C02646,C12205,C14863
Row.443_67727	306.130910097497	C06350
Row.444_123883	258.206268335859	
Row.445_57285	461.199008777412	C00440
Row.446_135058	441.264304284456	
Row.447_62217	351.190623725639	CE1447,CE2056,CE5533,CE5534,CE5926,CE5930,C04717,C14827
Row.448_99057	255.156409356305	
Row.449_111822	437.19367323699	C00427,C00584,C00696,C01312,C02198,C04654,C04671,C04853,C06314,C06315
Row.450_3248	624.541761112501	
Row.451_87098	248.125811685103	CE7087
Row.453_77997	168.138044352277	
Row.454_124138	305.163898752152	CE5795,CE5795,C07344
Row.455_90085	298.141165661975	C16609,C05202
Row.456_116172	337.234908447279	C00959,C02165,C04685,C04686,C04849,C05356,C05965,C05966,C14781,C14813,CE2445,CE2446,CE2449,CE5179,CE5343,CE5815,CE5944,CE6240,CE6246,CE6251,CE6474,CE7096,CE7172,C00639,C00909,C04741,C04843,C05470,C05471,C05474,C05489,C05959,C14782,C14814,CE4987,CE4988,CE5350,CE5352,CE6230
Row.458_77708	183.135364022121	C01387
Row.459_73255	193.119674072699	C00437,C01239
Row.460_78217	240.099255152984	C04441,C00055
Row.461_2597	500.779804581268	
Row.462_3821	205.083251311411	C01181,C01996
Row.463_48474	622.358500069698	
Row.464_128689	276.232068206594	CE1350
Row.465_4652	622.688179958359	
Row.466_132756	383.204206943235	CE5140,CE2054,CE3554,CE5976
Row.467_98211	218.153851864889	C07073
Row.468_79966	231.098826964953	C04376
Row.469_93957	317.172359934267	C03958,CE5525
Row.470_100643	281.172204968002	
Row.471_45018	511.289260926523	
Row.472_93390	273.109300569782	C16582,C16584
Row.473_72780	265.140569728898	
Row.474_34758	335.13611513353	C00718,C04540,C05796,C16560
Row.475_42930	380.185528390711	
Row.476_89550	224.127372217892	CE2065
Row.477_88448	335.230628586636	
Row.478_94957	236.126184111611	C04692
Row.479_125872	299.161748616948	
Row.480_3214	112.895821439647	
Row.481_88961	222.088653256388	
Row.482_110578	621.42024340663	
Row.483_2256	151.03635434368	
Row.484_58943	321.130606112622	
Row.485_108676	377.219484665405	C05480,CE2211
Row.486_53010	382.16237957621	
Row.487_2236	207.098836994333	
Row.488_74044	275.099923104959	C05841
Row.489_48428	322.672727953833	
Row.490_108936	329.172680044632	CE2054,CE5976
Row.491_91062	246.206127580617	
Row.492_81848	214.122133095841	C01516,C16576
Row.493_73266	323.146377254372	
Row.494_112305	421.317508709051	strdnccrn,lnlncacrn,lnlncgcrn
Row.495_3339	784.439899282542	
Row.498_104766	313.198521025117	
Row.499_2362	161.057100573809	C00576
Row.500_130930	299.161732235901	
Row.501_120502	251.198051722699	C06424
Row.502_88886	269.171943405162	C02679
Row.503_52620	461.199060260584	C00440
Row.504_48627	469.242211299245	C01246
Row.505_110595	389.219329929263	
Row.506_55680	461.262675443405	C03990
Row.507_2383	215.125178313638	
Row.508_89407	145.075869438436	C05636,C05638
Row.510_83458	238.177723304975	
Row.511_71365	367.172650052594	
Row.512_43179	608.342478018141	
Row.513_112309	414.215244411473	CE5719
Row.514_112738	172.111959823795	
Row.515_79475	227.161412098218	
Row.516_105895	243.135480723176	
Row.518_109772	194.151557282275	
Row.520_96780	230.211275864648	
Row.521_88527	292.944879968774	
Row.522_2340	307.093661111187	C01169
Row.523_2305	391.354281585849	C01301,C04554,C05445,C05446,C05453,C05458,C05499,C05501,C06341,C15518,C15520,CE0232,CE1272,CE4872,CE5530
Row.524_128801	438.287640555843	
Row.525_86236	395.19352539889	C00959,C02165,C04685,C04686,C04849,C05356,C05965,C05966,C14781,C14813
Row.526_90900	261.109425770519	C00214,C03626
Row.527_73007	293.147093732418	C16608,CE5818
Row.528_94254	152.120056528695	C00964,C02075,C02452,C02759,C06428,C11409,CE5013,CE5932
Row.529_90087	264.120362423011	C01259,C04540
Row.530_91288	259.093867147532	
Row.531_76206	244.190370383006	
Row.532_87109	233.114598331039	C03415
Row.533_78267	310.14123791496	
Row.534_2230	199.072660371683	C00299
Row.535_79209	253.176943221536	
Row.536_91485	635.361026336892	
Row.537_113727	236.162171020308	
Row.538_4550	162.112282058519	C00318,C00398,C00487
Row.539_2123	271.16651364024	C05141,C05301,CE2179,hestratriol
Row.540_82532	518.238908327853	
Row.541_3620	156.877363370061	
Row.542_121605	181.169831965885	
Row.543_100026	441.152200952777	C00143
Row.544_118071	381.26118447422	C06124,C01120,CE4980,CE5708
Row.545_67733	216.159046964092	
Row.546_112048	237.182336819814	
Row.548_39632	169.046825448107	C01031,C06006
Row.549_123087	289.14092183486	CE2102
Row.550_87277	201.088349571183	C00299,C00526
Row.552_73771	214.179753924987	C05452
Row.553_120663	186.127703150012	
Row.554_83541	281.147193732272	
Row.555_68847	334.162584534431	C05202
Row.556_77616	811.357833240615	
Row.557_3323	554.649381337131	
Row.558_92857	327.214215600712	C16662
Row.559_135510	815.514385389727	
Row.560_82950	197.057058912127	C00829
Row.561_43540	274.137882995126	
Row.562_69518	316.151479989966	C05202
Row.563_108061	534.316536518021	
Row.564_75966	386.195392097848	
Row.565_92381	231.135544580428	C00449
Row.566_130568	399.252483574781	C01246,CE5846
Row.567_101527	477.366716655334	
Row.568_117691	413.073147203657	
Row.570_89797	327.141258142896	
Row.571_87643	221.114614420878	C01239,C00964,C02452,C02759,C03263,C05768,C11409
Row.572_98084	257.078258085062	
Row.573_53920	167.103936859419	CE5848,CE7109,CE7110,C04785,C06423,C16321,CE5528
Row.574_60889	345.178009995998	
Row.575_101779	225.182353083451	
Row.576_74388	225.109331351968	CE2006,CE6506
Row.577_86454	315.177796326838	
Row.578_80390	310.104665551065	C04692,C06350,C14180
Row.579_89795	363.177701682839	C03958,CE5525
Row.580_111747	323.146502457533	
Row.581_3604	312.781901042564	
Row.582_93850	237.109532805343	CE2061
Row.583_4607	138.052371809118	C00148,C00763,CE1944,CE4788,CE6229
Row.584_97689	253.153522936389	CE5798
Row.585_5327	98.0579745490525	
Row.586_59218	385.183745454983	
Row.587_2389	293.244667604324	CE2209,C00959,C02165,C02797,C02940,C03836,C04685,C04686,C04742,C04805,C04849,C05356,C05965,C05966,C14748,C14749,C14768,C14769,C14770,C14771,C14772,C14773,C14774,C14775,C14778,C14779,C14781,C14813,CE5016
Row.588_38804	445.22060359786	
Row.589_104002	268.152074723256	C04540
Row.590_3329	175.118686219489	C00062,C00792,CE5844
Row.591_69497	239.161299441751	
Row.592_78045	313.211324015733	C00523,C03917,C04295,C04373,C05293
Row.593_106219	229.119766013961	CE3481
Row.594_107490	795.336142457139	
Row.595_96405	214.179879949803	C05452
Row.597_124203	279.156456908416	
Row.598_80654	213.088224730762	
Row.599_85135	224.104244773463	C01262,C00239,C11133,estroneglc
Row.600_112351	488.274710613092	CE5798,C05462,C05466
Row.601_78889	236.088992626364	C05587,C07453
Row.602_65216	256.130804449949	
Row.603_119876	339.250719993076	C14772,C14773,C14774,C14775,CE4987,CE4988,CE5350,CE5352,CE6230,C04742,C04805,C05472,C14748,C14749,C14768,C14769,C14770,C14771,C14778,C14779,CE5016
Row.604_59223	252.156773448999	
Row.605_94011	216.195618689861	C02838
Row.607_84388	273.109428598528	C16582,C16584
Row.608_3503	197.114594941113	C05963
Row.610_92991	309.167003067197	CE6185
Row.611_71288	222.146219233673	
Row.612_87191	305.639599616669	
Row.613_3295	706.523511901961	
Row.614_57316	298.104682060847	C16612,C16612
Row.615_64591	268.130401298667	
Row.616_2967	398.761332866382	
Row.617_3660	376.731777744578	
Row.618_110211	268.152278327613	C04540
Row.619_49294	326.174082991355	C07572,C02838
Row.620_134584	313.234997972183	C04717,C14827,C14765,CE5526,CE5527
Row.621_86934	415.230729937342	
Row.622_107180	231.135520322429	C00449
Row.623_52758	593.242174450055	
Row.624_61933	613.319890457758	
Row.625_76340	238.177444123489	
Row.626_81431	221.164493608836	
Row.627_81938	287.161557150863	C05298,C05300,CE2180,CE5249,CE5250,CE5253,CE5254
Row.628_124322	391.164561796977	
Row.629_57273	189.037045423772	C02045,C05411,C05412,C15587,C16353,C16358,CE5985
Row.630_104916	220.169436430925	
