feature_identifier	mz	mummichogID_hsa_biocyc
Row.599_42010	241.156441981613	
Row.602_21058	705.268089892983	
Row.606_31701	263.13316690223	
Row.607_1532	336.84107526393	
Row.608_32100	155.143830069887	ARACHIDIC_ACID,PHYTANATE
Row.609_24346	731.266253414383	
Row.615_17671	482.17103349075	
Row.616_23689	842.334883111177	
Row.619_1160	508.720714540905	
Row.621_19490	676.287441674056	
Row.622_1570	452.806565936101	
Row.624_28107	185.154694475584	
Row.625_1432	111.019346086006	C00106
Row.629_18612	533.219331644255	
Row.632_29157	335.154607788573	
Row.634_20451	661.282906976725	
Row.635_23367	821.323269882295	
Row.636_1054	165.040571074741	CPD-8989,CPD-8990,C01475,BETA-D-XYLOSE,CPD-35,C00310,GLYCERATE,L-XYLULOSE,XYLOSE
Row.637_42992	174.055835429697	3-INDOLYLGLYCOLALDEHYDE,5-HYDROXYINDOLE_ACETALDEHYDE,CPD-11715,INDOLE_ACETALDEHYDE,INDOLE_ACETATE_AUXIN
Row.639_23064	823.340268361336	
Row.647_32473	183.175424149808	
Row.648_15981	471.169715094066	
Row.650_63856	231.139346748283	CPD-3184
Row.651_1467	146.045476888415	C01015,5-AMINO-LEVULINATE,GLT,GLYCERATE,L-GLUTAMATE_GAMMA-SEMIALDEHYDE
Row.653_31236	241.181622339438	
Row.654_20557	641.263314813596	BILIVERDINE
Row.655_13349	432.152460864117	
Row.656_62633	526.295886476312	
Row.660_52069	223.14543700383	
Row.666_48223	207.139179208291	CPD-7204
Row.668_48857	227.071855294017	CPD-13518,CPD-13175
Row.669_19676	777.307886289185	
Row.670_39378	305.180258761703	
Row.672_29806	325.149145756958	
Row.675_27569	341.144102426728	
Row.677_29669	337.170340191707	
Row.680_19848	586.245730088626	
Row.684_25479	225.149869956145	
Row.685_27888	282.208373810381	
Row.686_48625	217.181185698655	
Row.687_15560	453.158304407583	
Row.688_34931	265.148925294805	
Row.689_17067	502.185675949734	
Row.694_27679	227.165683785256	
Row.697_31703	317.213346251654	CPD6666-1,5Z8Z10E14Z-12S-12-HYDROPEROXYICOS,5Z8Z11Z13E-15S-15-HYDROPEROXYICOS,5Z8Z11Z14Z17Z-EICOSAPENTAENOATE,6E8Z11Z14Z-5S-5-HYDROPEROXYCOSA-6,6Z8E10E14Z-5S12R-512-DIHYDROXYI,CPD-8892
Row.698_32855	287.187362890045	
