PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
ADAM10_O14672	0.000689234876416726	0.00152927952776885	-0.00180831975619692	0.0135394406363142	-0.0106861222167655	0.0328559210861131	0.00169224015106508	-0.00103270527907706	-0.00887589740790398	-0.00956062943357268
EI24_O14681	0.00054367961363135	-0.00499797121104382	-0.00441810529119853	0.0114994877513857	-0.0113620715584996	-0.00777961311021976	-0.00904109821317988	-0.00264175148403344	0.0119082168497479	-0.00257296276063394
EI24_O14681.1	-0.00169525428423376	0.0128051835483625	0.0024980823257608	0.0204695384807767	0.0159635920447854	0.0102896859092564	-0.00812894487508814	-0.0288833455947964	0.0051437586642253	-0.00677004610171839
TP53I11_O14683	0.000512050578190996	0.00279787340041071	0.0174604791902085	0.00977130158274248	0.0325975125154558	-0.00270728334196692	0.0149193570933268	-0.0194462527886896	-0.00856447594419891	0.00133418458656589
KMT2D_O14686	-0.00222343066272513	0.00481316518222518	-0.00958491438724471	0.00538600828804069	0.0189434748312706	0.0095229330949894	0.007557048135417	0.00401164708833999	0.010561534923666	-0.00911671397964212
KMT2D_O14686.1	-0.00134386169971958	0.0203544020715242	0.00800913822589261	-0.0075837721068108	0.00596445255321278	-0.0234758159789571	-0.0103315431095036	-0.0192750842574517	-0.000660177250182345	-0.0120933999452804
PDCD5_O14737	0.000348893577276106	-0.00312258269155203	-0.00744758013701761	0.0030489358248845	0.00199870982252875	-0.006259429503226	-0.00323645660165903	0.00849211019326438	-0.00325777250113664	-0.0114640285091114
NRP1_O14786.1	0.00186607928896334	0.00511493585549505	0.00336889924204998	-0.000153210015689467	-0.00265302535417162	-0.00476555062269286	-0.012737254126787	0.000673159922674063	-0.00355452528570873	-0.0116034138505534
UNC13B_O14795	-0.000641090489483789	0.00757535386809758	-0.0222106078899811	0.00905189129794515	0.0123065114448279	0.0066195118946076	-0.0135291583784152	-0.00777216608515685	0.00450860378062369	0.000775046201537347
UNC13B_O14795.1	-0.00103782309272816	0.00524271485297751	-0.0424513194011931	0.0189730415773922	0.00248539440821283	-0.00227432727809537	-0.0123990281035673	-0.00644099792598029	0.0122586455051375	-0.00455474459649817
SCAMP3_O14828	-0.000379141266291374	0.0200648740737919	0.00573975060490763	0.0123084104027351	0.00927288542266606	-0.00798009559702832	0.00850843772200772	0.000295468210885853	-0.00111058749175477	0.0227032360969426
BACH1_O14867	-0.000697988842166921	0.00072231413757739	0.000502209952444442	-9.12129636905555e-05	-0.000768800092822964	-0.0112095781319444	0.00181680703192045	0.0120722119937966	-0.0264065726693635	-0.00596827870236236
BCKDK_O14874	-0.00088904367156732	0.00765402979835463	-0.0131140037090123	0.0115196869644602	0.0108661332328286	-0.000834522455782302	-0.0135362270153614	0.00124514661830765	-0.0124535279974061	-0.00543537360905829
GIPC1_O14908	-6.27506327565327e-05	0.0239612274991887	0.0194860037884083	0.0152057376614043	0.00141423220291335	0.0216816614766323	-0.00534977054987963	-0.0018530111726778	-0.0286195278434882	0.0110662786687194
GIPC1_O14908.1	-0.00121894558425576	0.00307614456741377	0.0100643783510534	0.00102140564386526	0.000762161142038735	0.00420157801223805	-0.00428537945679564	-0.00136726454339122	0.0116374336637465	0.00598770273598106
