"Query.Mass","Matched.Compound","Matched.Form","Mass.Diff"
"137.070794016635","CPD-10814","M-H4O2+H[1+]","7.4712035001312e-05"
"137.070794016635","CPD-14736","M-C3H4O2+H[1+]","0.00017471203497621"
"137.070794016635","CPD-396","M[1+]","0.000693904765000752"
"186.127703150012","CPD-11406","M-CO2+H[1+]","5.20476580163631e-05"
"353.266245843676","STEARIC_ACID","M+HCOONa[1+]","3.8977106044058e-05"
"287.14603045855","C01516","M(C13)+H[1+]","0.00113948962001587"
"241.140662041535","CPD-3617","M+HCOONa[1+]","0.000344311435014788"
"212.106783090779","CPD-11406","M-H2O+H[1+]","0.000172106891000112"
"212.106783090779","C01735","M-C3H4O2+H[1+]","0.000236793191049856"
"271.130374994451","CPD-9700","M+H[1+]","0.00152682898101375"
"271.130374994451","7-8-DIHYDROPTEROATE","M-CO2+H[1+]","0.000160180780994779"
"153.088345396742","CPD-7619","M+Na[1+]","0.000310763628021959"
"153.088345396742","C08270","M+H2O+H[1+]","0.0013267322719912"
"329.156697576764","C05179","M(C13)+H[1+]","0.00103705770601437"
"249.088556639078","CPD-14602","M+2H[2+]","0.00224199030802197"
"249.088556639078","CPD-14604","M+2H[2+]","0.00224199030802197"
"249.088556639078","CPD-731","M+K[1+]","0.00018572820800955"
"197.114582916595","CPD-371","M+HCOONa[1+]","0.000208685875008996"
"201.088281578204","CPD-13403","M-NH3+H[1+]","0.00124912593398108"
"201.088281578204","CPD0-1445","M-H2O+H[1+]","0.00133354113401651"
"201.088281578204","C00526","M-CO+H[1+]","0.00138360533398441"
"201.088281578204","C00299","M-CO2+H[1+]","0.0012689832339845"
"170.096300190666","CPD-7650","M(S34)+H[1+]","0.00140494280401526"
"155.078702034959","CPD0-1082","M(C13)+3H[3+]","0.000366971810990435"
"155.078702034959","L-ORNITHINE","M+Na[1+]","0.000452071610993698"
"223.143719363994","L-ARGININO-SUCCINATE","M-HCOONa+H[1+]","0.00120856602396202"
"179.104112731269","CPD-10806","M+Na[1+]","0.000193493300997716"
"267.058591604371","C00299","M+Na[1+]","0.000220990599075321"
"275.124948398087","CPD-7229","M+H2O+H[1+]","0.00115029681694523"
"381.297636784409","ARACHIDIC_ACID","M+HCOONa[1+]","0.000129789439029082"
"381.297636784409","CHOLATE","M-CO+H[1+]","0.00221407686098019"
"381.297636784409","PHYTANATE","M+HCOONa[1+]","0.000129789439029082"
"241.029232425806","CYSTINE","M+H[1+]","0.00189230496400228"
"261.094382253569","CPD-12015","M-HCOONa+H[1+]","0.00159884019893752"
"259.105099106656","CPD-12018","M+HCOONa[1+]","0.000190442014002201"
"259.105099106656","CPD-12023","M+Na[1+]","0.000269750414020109"
"325.090281892528","NALPHA-GAMMA-L-GLUTAMYLHISTAMINE","M+HCOOK[1+]","0.000534974941956534"
"307.114844293208","CPD-13711","M+HCOONa[1+]","0.000341239761951329"
"169.119718890534","CPD-13086","M+H+Na[2+]","0.00141236613603724"
"244.094070382989","C00475","M+H[1+]","0.00127337281901418"
"289.140836221731","CPD-9700","M+H2O+H[1+]","0.00138805626096428"
"217.104435179692","CPD-8985","M(S34)+H[1+]","0.00197901932199329"
"217.104435179692","CPD-8985","M(Cl37)+H[1+]","0.00057901932200366"
"217.104435179692","CPD-13403","M[1+]","0.00182080580802335"
"241.083395741952","CPD-10806","M+HCOOK[1+]","0.000210482618001606"
"241.083395741952","CPD-3723","M-HCOOK+H[1+]","0.00155273858197802"
"241.083395741952","C02291","M+H2O+H[1+]","0.00190836301803188"
"241.083395741952","PSEUDOURIDINE-5-P","M-HCOOK+H[1+]","0.00155273858197802"
"241.083395741952","PTEROATE","M-C3H4O2+H[1+]","0.000130992481985004"
"241.083395741952","UMP","M-HCOOK+H[1+]","0.00155273858197802"
"230.139740020645","CPD66-18","M+H+Na[2+]","0.00021904557499397"
"220.116446214927","N-ACETYL-SEROTONIN","M(C13)+H[1+]","0.000242044157005239"
"220.116446214927","N-METHYLTRYPTOPHAN","M(C13)+H[1+]","0.000242044157005239"
"220.116446214927","PANTOTHENATE","M+H[1+]","0.00150291324302998"
"220.116446214927","C01594","M-CO+H[1+]","0.00141753534302325"
"283.187453030344","C02567","M+K[1+]","0.00163497812599189"
"149.093523428249","N-ACETYL-BETA-GLUCOSAMINYLAMINE","M-C3H4O2+H[1+]","0.00142532697896058"
"237.109409263617","CPD-7618","M+HCOONa[1+]","0.000296960952994141"
"237.109409263617","CPD-9976","M+HCOONa[1+]","0.000296960952994141"
"237.109409263617","CPD-9977","M+HCOONa[1+]","0.000296960952994141"
